items_inserted,load_factor,fill_ratio,theoretical_fpr,measured_fpr
500,0.05,0.035930767545461186,7.731530300748612e-11,0.0
1000,0.1,0.07065132340820648,8.787029994397116e-09,0.0
1500,0.15,0.10381738323022191,1.299841942718656e-07,0.0
2000,0.2,0.13602361999353163,8.615893057000273e-07,0.0
2500,0.25,0.1669153164807879,3.6097184699216747e-06,0.0
3000,0.3,0.1969306527840085,1.1486646171527794e-05,0.0
3500,0.35,0.2254749559211693,2.962703393105389e-05,0.0
4000,0.4,0.2534141532169722,6.711445477910746e-05,0.0004
4500,0.45,0.28003881023672156,0.00013506025550796624,0.0
5000,0.5,0.3057245099164328,0.00024963863681857807,0.0
5500,0.55,0.3309615966447924,0.0004349538919975612,0.0006
6000,0.6,0.3554579503604553,0.0007169974751392196,0.0014
6500,0.65,0.37850413662872584,0.0011129980707045566,0.0012
7000,0.7,0.401007814211641,0.0016675153824265644,0.001
7500,0.75,0.4227811916411931,0.002414402152324689,0.0014
8000,0.8,0.4438242689173822,0.003392167778222159,0.0036
8500,0.85,0.4639596874315344,0.0046276630577252054,0.0032
9000,0.9,0.4826449384982942,0.00610090542500359,0.0072
9500,0.95,0.5015284138923954,0.007981211135932031,0.008
10000,1.0,0.5193373047751197,0.010189353702942697,0.0108
