k,measured_fpr,theoretical_fpr
1,0.09745,0.09516258196404048
2,0.0337,0.032858539879675595
3,0.017,0.017410586496326586
4,0.01145,0.011813270906619364
5,0.0101,0.009430929226122473
6,0.008,0.008436209268438546
7,0.00885,0.008193722065862417
8,0.0089,0.008455472335870781
9,0.0094,0.009126993056809857
10,0.01125,0.01018589403201696
11,0.013,0.011649503554673027
12,0.0139,0.013560569289831764
13,0.01555,0.01598020077575094
14,0.01855,0.018983798864212868
15,0.0224,0.022658122458868668
