bucket,count
0,106
1,119
2,102
3,105
4,111
5,105
6,100
7,107
8,116
9,93
10,110
11,106
12,100
13,89
14,95
15,106
16,110
17,95
18,105
19,96
20,96
21,90
22,91
23,90
24,92
25,114
26,96
27,94
28,99
29,90
30,102
31,104
32,89
33,93
34,113
35,107
36,102
37,106
38,104
39,90
40,82
41,101
42,106
43,78
44,95
45,87
46,91
47,90
48,96
49,106
50,120
51,87
52,83
53,109
54,109
55,117
56,91
57,109
58,104
59,98
60,92
61,101
62,84
63,82
64,95
65,105
66,92
67,92
68,117
69,93
70,97
71,97
72,112
73,112
74,95
75,92
76,102
77,94
78,100
79,92
80,107
81,109
82,119
83,89
84,100
85,112
86,96
87,117
88,97
89,101
90,90
91,108
92,88
93,86
94,115
95,102
96,104
97,109
98,96
99,118
100,120
101,104
102,78
103,107
104,104
105,89
106,91
107,79
108,107
109,99
110,101
111,90
112,93
113,110
114,114
115,99
116,108
117,107
118,87
119,106
120,98
121,94
122,101
123,102
124,100
125,96
126,100
127,83
128,108
129,102
130,106
131,105
132,102
133,110
134,99
135,96
136,99
137,99
138,105
139,86
140,97
141,86
142,78
143,93
144,104
145,96
146,111
147,89
148,109
149,84
150,107
151,106
152,98
153,97
154,84
155,94
156,108
157,111
158,106
159,101
160,87
161,100
162,97
163,115
164,100
165,107
166,97
167,96
168,84
169,94
170,84
171,90
172,102
173,101
174,93
175,86
176,104
177,96
178,102
179,99
180,86
181,124
182,82
183,95
184,108
185,92
186,112
187,113
188,118
189,121
190,115
191,111
192,103
193,91
194,112
195,99
196,99
197,108
198,116
199,112
